source_document_id,edge_evidence_rows,unique_directed_edges,supplier_nodes,customer_nodes,first_publication,last_publication,relationship_mentions,explicit_name_mentions,source_provenance_complete
1200764632,,,,,,,10,0,True
1200764656,,,,,,,10,10,True
1200764686,,,,,,,10,0,True
1200764752,,,,,,,10,0,True
1200764836,,,,,,,9,9,True
1200764932,,,,,,,5,0,True
1200764967,1.0,1.0,1.0,1.0,2015-03-31 16:00:00+00:00,2015-03-31 16:00:00+00:00,10,10,True
1200765009,,,,,,,7,2,True
1200765060,,,,,,,10,0,True
1200765110,,,,,,,10,0,True
1200765197,,,,,,,5,0,True
1200765299,,,,,,,8,8,True
1200765340,1.0,1.0,1.0,1.0,2015-03-31 16:00:00+00:00,2015-03-31 16:00:00+00:00,10,10,True
1200765368,,,,,,,10,0,True
1200765444,,,,,,,10,0,True
1200765481,,,,,,,5,0,True
1200765495,,,,,,,6,0,True
1200765537,,,,,,,5,0,True
1200765577,,,,,,,6,6,True
1200765605,,,,,,,10,0,True
1200765812,,,,,,,5,0,True
1200765842,,,,,,,10,5,True
1200765853,,,,,,,10,0,True
1200765975,,,,,,,10,1,True
1200766033,,,,,,,10,0,True
1200766092,,,,,,,9,0,True
1200766123,,,,,,,6,6,True
1200766138,,,,,,,10,0,True
1200766186,,,,,,,10,10,True
1200766322,,,,,,,5,0,True
1200766339,,,,,,,5,0,True
1200766479,,,,,,,9,0,True
1200766504,,,,,,,10,0,True
1200766545,,,,,,,10,0,True
1200766554,,,,,,,10,0,True
1200766575,,,,,,,10,5,True
1200766819,,,,,,,4,4,True
1200767066,,,,,,,5,0,True
1200767154,1.0,1.0,1.0,1.0,2015-03-31 16:00:00+00:00,2015-03-31 16:00:00+00:00,10,10,True
1200767172,,,,,,,10,0,True
1200767195,,,,,,,10,10,True
1200767221,,,,,,,10,0,True
1200767333,,,,,,,10,10,True
1200767364,,,,,,,5,0,True
1200767385,,,,,,,5,5,True
1200767411,,,,,,,4,4,True
1200767427,,,,,,,7,7,True
1200767459,,,,,,,13,1,True
1200767503,,,,,,,10,10,True
1200767556,,,,,,,10,0,True
1200767596,,,,,,,10,0,True
1200767717,,,,,,,10,0,True
1200767775,,,,,,,10,10,True
1200767799,,,,,,,10,0,True
1200767839,,,,,,,5,5,True
1200767847,,,,,,,10,0,True
1200767887,,,,,,,5,0,True
1200767909,,,,,,,10,0,True
1200767928,,,,,,,8,0,True
1200767961,,,,,,,10,0,True
1200768033,,,,,,,5,0,True
1200768178,,,,,,,10,0,True
1200768230,,,,,,,5,0,True
1200768257,,,,,,,2,2,True
1200768281,,,,,,,10,0,True
1200768312,,,,,,,10,0,True
1200768341,,,,,,,10,0,True
1200768712,,,,,,,7,7,True
1200768747,,,,,,,10,10,True
1200769024,,,,,,,3,3,True
1200769049,,,,,,,8,0,True
1200769137,,,,,,,10,10,True
1200769165,,,,,,,12,12,True
1200769238,,,,,,,9,4,True
1200769264,,,,,,,10,10,True
1200769304,,,,,,,10,10,True
1200769666,,,,,,,5,5,True
1200770024,,,,,,,10,0,True
1200770095,,,,,,,10,0,True
1200770599,,,,,,,5,5,True
1200770687,,,,,,,10,10,True
1200773556,,,,,,,10,0,True
1200773574,,,,,,,5,0,True
1200773705,,,,,,,8,7,True
1200773722,1.0,1.0,1.0,1.0,2015-04-01 16:00:00+00:00,2015-04-01 16:00:00+00:00,8,7,True
1200773804,,,,,,,6,0,True
1200773827,,,,,,,8,0,True
1200774054,,,,,,,9,9,True
1200774083,,,,,,,7,7,True
1200774454,,,,,,,10,0,True
1200774626,,,,,,,7,0,True
1200774736,,,,,,,7,7,True
1200774814,,,,,,,10,5,True
1200774853,,,,,,,10,0,True
1200774905,,,,,,,10,0,True
1200775004,,,,,,,10,0,True
1200775190,,,,,,,10,0,True
1200775250,,,,,,,6,0,True
1200775434,,,,,,,5,0,True
1200777893,,,,,,,8,0,True
1200778053,,,,,,,5,0,True
1200778140,,,,,,,10,0,True
1200778225,,,,,,,10,10,True
1200778265,,,,,,,9,0,True
1200778544,,,,,,,10,0,True
1200778909,1.0,1.0,1.0,1.0,2015-04-02 16:00:00+00:00,2015-04-02 16:00:00+00:00,7,7,True
1200778992,,,,,,,7,0,True
1200779102,,,,,,,5,5,True
1200779250,,,,,,,4,4,True
1200779351,,,,,,,10,0,True
1200779425,,,,,,,10,10,True
1200779472,,,,,,,2,2,True
1200779483,,,,,,,10,10,True
1200779592,,,,,,,10,0,True
1200779665,,,,,,,5,0,True
1200779793,,,,,,,6,6,True
1200779908,,,,,,,9,0,True
1200779953,,,,,,,9,0,True
1200780128,,,,,,,10,0,True
1200782362,,,,,,,10,0,True
1200782387,,,,,,,8,8,True
1200782576,,,,,,,8,0,True
1200782604,,,,,,,7,0,True
1200782615,,,,,,,10,0,True
1200782650,,,,,,,3,0,True
1200782743,,,,,,,6,0,True
1200782777,,,,,,,10,0,True
1200782803,,,,,,,10,0,True
1200783101,,,,,,,10,10,True
1200783395,,,,,,,5,5,True
1200783583,,,,,,,10,0,True
1200784086,,,,,,,5,5,True
1200784299,,,,,,,10,10,True
1200784406,,,,,,,5,0,True
1200784431,,,,,,,10,0,True
1200784493,,,,,,,10,10,True
1200784838,,,,,,,5,5,True
1200784954,,,,,,,5,0,True
1200784960,,,,,,,5,5,True
1200785058,,,,,,,1,1,True
1200787593,,,,,,,10,0,True
1200787688,,,,,,,10,0,True
1200788000,,,,,,,10,0,True
1200788351,,,,,,,5,5,True
1200788435,,,,,,,5,5,True
1200788469,,,,,,,5,5,True
1200788511,,,,,,,1,1,True
1200788549,,,,,,,10,0,True
1200788683,,,,,,,10,10,True
1200788830,,,,,,,10,0,True
1200788957,,,,,,,8,8,True
1200789342,1.0,1.0,1.0,1.0,2015-04-07 16:00:00+00:00,2015-04-07 16:00:00+00:00,9,9,True
1200793533,,,,,,,5,0,True
1200795365,,,,,,,10,0,True
1200795744,,,,,,,9,9,True
1200795810,,,,,,,1,1,True
1200796202,,,,,,,10,10,True
1200796223,,,,,,,2,2,True
1200796316,,,,,,,10,5,True
1200796924,,,,,,,5,5,True
1200797020,,,,,,,5,0,True
1200797258,1.0,1.0,1.0,1.0,2015-04-08 16:00:00+00:00,2015-04-08 16:00:00+00:00,10,10,True
1200797426,,,,,,,10,10,True
1200799098,,,,,,,10,0,True
1200799277,,,,,,,2,2,True
1200799342,,,,,,,6,0,True
1200799379,,,,,,,5,4,True
1200799533,,,,,,,10,10,True
1200799561,1.0,1.0,1.0,1.0,2015-04-09 16:00:00+00:00,2015-04-09 16:00:00+00:00,10,10,True
1200799715,,,,,,,10,10,True
1200799759,,,,,,,10,0,True
